register;country;description;designation;points;price;province;region_1;region_2;taster_name;taster_twitter_handle;title;variety;winery;ajuste_vaiety
16;Argentina;Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.                                            ;Felix                                                           ;87;30;Other            ;Cafayate                  ;                 ;Michael Schachner ;@wineschach     ;Felix Lavaque 2010 Felix Malbec (Cafayate)                                                        ;Malbec                    ;Felix Lavaque                  ;Wine Malbec   
160;France   ;Low-yield vines on the best parcels of the Vincens estate are the source of this wine. It is super-rich and concentrated, maybe too much in its opulent excess. The wine does have great plum and berry flavors that are generous and full in the mouth. The wine even now is still young and will be better from 2018.                 ;                                                                ;91;35;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château Vincens 2012 Malbec (Cahors)                                                              ;Malbec                    ;Château Vincens                ;Wine Malbec   
224;Argentina;Blackberry and road-tar aromas are dark and stout. This is moderately tannic and a bit rough and jagged on the palate. Flavors of stewed black plum and prune are ripe almost to an extreme, and that's how it finishes as well.                                                                                                        ;Lunta                                                           ;90;22;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Mendel 2014 Lunta Malbec (Luján de Cuyo)                                                          ;Malbec                    ;Mendel                         ;Wine Malbec   
284;Argentina;This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner r;Marchiori Vineyard Block C2                                     ;92;215;Mendoza Province ;Perdriel                  ;                 ;Michael Schachner ;@wineschach     ;Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel)                                     ;Malbec                    ;Viña Cobos                     ;Wine Malbec   
294;Argentina;"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.     ";Synthesis                                                       ;92;30;Mendoza Province ;Tupungato                 ;                 ;Michael Schachner ;@wineschach     ;Finca Sophenia 2011 Synthesis Malbec (Tupungato)                                                  ;Malbec                    ;Finca Sophenia                 ;Wine Malbec   
592;US       ;Purple fruit and wood spice intermingle on the aromas, along with clove, herb and baking spice, showing a touch of volatility. The fruit flavors are big and bold, bringing a sense of structure and liveliness. It's an intriguing example of the variety from an up-and-coming vineyard.                                              ;Summit View Vineyard                                            ;89;41;Washington       ;Walla Walla Valley (WA)   ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Kontos 2014 Summit View Vineyard Malbec (Walla Walla Valley (WA))                                 ;Malbec                    ;Kontos                         ;Wine Malbec   
738;Argentina;Roasted, stewed berry aromas are rustic and suggestive of grilled meat. This is high in acidity, and thus it feels sharp and edgy. Flavors of forced oak, related spice and tart plum end with a scraping, tannic feel and herbal berry flavors.                                                                                        ;Henry Legarde                                                   ;85;17;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Lagarde 2013 Henry Legarde Malbec (Luján de Cuyo)                                                 ;Malbec                    ;Lagarde                        ;Wine Malbec   
914;Argentina;Smashed berry aromas are backed by earth and toasty oak notes. Fairly hard and tannic on the palate, this shows herbal plum flavors in front of a bold finish with dry tannins and a hint of wood spice.                                                                                                                                ;Grand Reserve                                                   ;87;20;Other            ;San Juan                  ;                 ;Michael Schachner ;@wineschach     ;Graffigna 2012 Grand Reserve Malbec (San Juan)                                                    ;Malbec                    ;Graffigna                      ;Wine Malbec   
926;Argentina;This Malbec is a collection of disparate parts that doesn't justify its price. Reduced plum and grapy berry aromas come with woodsy notes of menthol and cola. Highly herbal, saucy, savory flavors are more oaky than fruity, while this finishes with muscular tannins and savory, grapy notes.                                       ;Roll Fermentor                                                  ;87;175;Mendoza Province ;Tupungato                 ;                 ;Michael Schachner ;@wineschach     ;Antonio Mas 2011 Roll Fermentor Malbec (Tupungato)                                                ;Malbec                    ;Antonio Mas                    ;Wine Malbec   
930;Argentina;Roasted, woodsy, rubbery aromas are gamy and staunch, with berry notes interspersed. Grabby, rubbery tannins make for a rugged palate, while roasted plum and gamy flavors are a touch salty. A tannic finish doesn't change much.                                                                                                      ;Alberti 154                                                     ;87;15;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Bodega Calle 2014 Alberti 154 Malbec (Mendoza)                                                    ;Malbec                    ;Bodega Calle                   ;Wine Malbec   
